crop_name,description,grow_mature,grow_harvest,multiple_harvests,season,price,cost,average_batch,photo
Amaranth,A purple grain cultivated by an ancient civilization.,0,7,NO,FA,150,70,1,https://stardewvalleywiki.com/mediawiki/images/7/74/Amaranth_Stage_5.png
Artichoke,"The bud of a thistle plant. The spiny outer leaves conceal a fleshy, filling interior.",0,8,NO,FA,160,30,1,https://stardewvalleywiki.com/mediawiki/images/0/0b/Artichoke_Stage_6.png
Beet,"A sweet and earthy root vegatable. As a bonus, the leaves make a great salad.",0,6,NO,FA,100,20,1,https://stardewvalleywiki.com/mediawiki/images/7/7c/Beet_Stage_5.png
Bok Choy,The leafy greens and fibrous stalks are healthy and delicious.,0,4,NO,FA,80,50,1,https://stardewvalleywiki.com/mediawiki/images/5/50/Bok_Choy_Stage_5.png
Fairy Rose,An old folk legend suggests that the sweet smell of this flower attracts fairies.,0,12,NO,FA,290,200,1,https://stardewvalleywiki.com/mediawiki/images/4/43/Fairy_Rose_Stage_5.png
Pumpkin,"A fall favorite, grown for its crunchy seeds and delicately flavored flesh. As a bonus, the hollow shell can be carved into a festive decoration.",0,13,NO,FA,320,100,1,https://stardewvalleywiki.com/mediawiki/images/9/9d/Pumpkin_Stage_6.png
Sweet Gem Berry,It's by far the sweetest thing you've ever smelled.,0,24,NO,FA,3000,1000,1,https://stardewvalleywiki.com/mediawiki/images/f/f0/Sweet_Gem_Berry_Stage_6.png
Yam,A starchy tuber with a lot of culinary versatility.,0,10,NO,FA,160,60,1,https://stardewvalleywiki.com/mediawiki/images/6/64/Yam_Stage_5.png
Cranberries,These tart red berries are a traditional winter food.,7,5,YES,FA,75,240,2,https://stardewvalleywiki.com/mediawiki/images/5/5a/Cranberry_Stage_6.png
Eggplant,A rich and wholesome relative of the tomato. Delicious fried or stewed.,5,5,YES,FA,60,20,1,https://stardewvalleywiki.com/mediawiki/images/1/17/Eggplant_Stage_6.png
Grape,A sweet cluster of fruit.,10,3,YES,FA,80,60,1,https://stardewvalleywiki.com/mediawiki/images/1/12/Grape_Stage_6.png
Melon,"A cool, sweet summer treat.",0,12,NO,SM,25,80,1,https://stardewvalleywiki.com/mediawiki/images/d/d9/Melon_Stage_6.png
